station_id,station_name,as_of,status_updated_at,status_observed_at,status_age_minutes,observation_age_minutes,freshness_flag,lat,lng,total_chargers,available_count,observed_count,observation_coverage,observed_available,static_candidate_ready,recheck_required,availability_guaranteed,data_quality_flags,request_vehicle_model,request_current_soc_percent,request_eta_minutes,request_route_distance_km,arrival_soc_percent,soc_risk_level,is_operating_now,schema_version
ME18C147,삼국유사 가온누리,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:46.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,14.938222366666668,11.438222366666668,AGING,36.158508,128.69693,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME18C170,북대구세무서,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:16.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,17.438222366666665,11.438222366666668,CHECK_REQUIRED,35.888337,128.583212,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C171,노원동행정복지센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:25.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,18.30488903333333,11.438222366666668,CHECK_REQUIRED,35.890297126,128.5760202,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C172,침산3동행정복지센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:30:01.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,13.704889033333334,11.438222366666668,AGING,35.892053,128.589389,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME18C173,침산공원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:19.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,14.404889033333337,11.438222366666668,AGING,35.895815731,128.58413411,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME18C174,서구 문화회관,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:52.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,15.854889033333334,11.438222366666668,CHECK_REQUIRED,35.872177843,128.54599709,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C175,대명1동 행정복지센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:42+00:00,2026-07-28 07:32:16.999999998+00:00,15.0215557,11.438222366666668,CHECK_REQUIRED,35.841448784,128.57357283,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C176,도원동마을공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:04.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,15.654889033333337,11.438222366666668,CHECK_REQUIRED,35.805873,128.547724,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C177,낙동강 레포츠밸리,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:13.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.48822236666667,11.438222366666668,CHECK_REQUIRED,35.671921189,128.37141736,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C178,안심2동 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:43.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,15.004889033333336,11.438222366666668,CHECK_REQUIRED,35.875507,128.686917,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
