statId,statNm,lat,lng,available_count,total_chargers,availability_ratio_observed,reliability_grade,reliability_grade_effective,observation_age_minutes,as_of_ts,recommend_public_default,parking_is_mock,traffic_is_mock
ME25C170,신서혁신도시 나불지 공영주차장 2,35.8795815,128.7181757,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C171,동촌유원지 3 공영주차장 2,35.877799,128.6552914,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C172,E-share 대불노인복지관,35.898781,128.6167825,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C173,산격4동 공영주차장,35.8990036,128.606817,1,1,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C276,전망대주차장,36.1212955,128.7933297,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C277,수밭근린공원 주차장,35.7995228,128.5493043,1,2,0.5,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C278,국립대구박물관(북문 주차장) (2),35.8465744,128.6385553,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C425,달성군 보건소 주차장,35.6917521,128.444391,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C426,신서혁신도시 나불지 공영주차장 1,35.8795815,128.7181757,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C427,동촌유원지 3 공영주차장 1,35.877799,128.6552914,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME25C428,국립대구박물관(북문 주차장) (1),35.8455739,128.638342,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
AH000019,대구 KC타운,35.838835032,128.6838783,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
AM900026,대구 동천동 세븐밸리 충전소,35.94413786,128.5603226,3,7,1.0,CHECK_REQUIRED,CHECK_REQUIRED,400.3666666666667,2026-08-09T07:23:21+09:00,True,False,False
AM900047,대구 와이즈빌딩,35.86570133,128.5899312,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
AM900048,대구 와이즈빌딩 급속충전소,35.86570133,128.5899312,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,885.2166666666667,2026-08-09T07:23:21+09:00,True,False,False
AZ100007,이고,35.8894247,128.5701017,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,18328.9,2026-08-09T07:23:21+09:00,True,False,False
AZ100013,대청초등학교,35.8511286,128.6505789,0,1,0.0,CHECK_REQUIRED,CHECK_REQUIRED,27972.233333333334,2026-08-09T07:23:21+09:00,True,False,False
AZ100014,밴앤포스,35.8685037,128.6175043,0,1,0.0,CHECK_REQUIRED,CHECK_REQUIRED,40.06666666666667,2026-08-09T07:23:21+09:00,True,False,False
AZ100017,대구세강병원,35.8367639,128.551692,6,8,0.75,CHECK_REQUIRED,CHECK_REQUIRED,1105.4666666666667,2026-08-09T07:23:21+09:00,True,False,False
AZ100019,지피에스,35.8886601,128.5536739,3,3,1.0,CHECK_REQUIRED,NORMAL,10.016666666666667,2026-08-09T07:23:21+09:00,True,False,False
AZ100020,올인워크,35.867861,128.6295635,3,4,0.75,CHECK_REQUIRED,CHECK_REQUIRED,855.0833333333334,2026-08-09T07:23:21+09:00,True,False,False
AZ100021,KB차차차 동대구,35.8694393,128.7188097,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,2290.75,2026-08-09T07:23:21+09:00,True,False,False
AZ100022,모빌리티기술혁신센터,35.6947229,128.4708567,1,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,1395.8166666666666,2026-08-09T07:23:21+09:00,True,False,False
AZ100023,비에스타워,35.8894247,128.5701017,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,1970.0,2026-08-09T07:23:21+09:00,True,False,False
BE241230,워터 군위휴게소 부산방향,36.2661344,128.5749656,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,494.55,2026-08-09T07:23:21+09:00,True,False,False
BE241250,워터 현풍휴게소 대구방향,35.702207,128.437991,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,90.1,2026-08-09T07:23:21+09:00,True,False,False
BE241251,워터 현풍휴게소 창원방향,35.70169,128.435728,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,80.1,2026-08-09T07:23:21+09:00,True,False,False
BE482306,워터 대구 반월당,35.866269,128.592819,8,10,0.8,CHECK_REQUIRED,CHECK_REQUIRED,574.7166666666667,2026-08-09T07:23:21+09:00,True,False,False
BNBN0053,대구 달성군 한국기계연구원,35.6915232,128.4724887,0,3,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
BNBN0494,달성군 테크노스포츠센터,35.684819,128.463713,3,3,1.0,CHECK_REQUIRED,CHECK_REQUIRED,260.2333333333333,2026-08-09T07:23:21+09:00,True,False,False
BNBN0583,대구 군위고등학교,36.2457615,128.5710997,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,260.2333333333333,2026-08-09T07:23:21+09:00,True,False,False
BNBN0584,대구 경일여자고등학교,35.8367177,128.5970294,4,4,1.0,CHECK_REQUIRED,CHECK_REQUIRED,100.1,2026-08-09T07:23:21+09:00,True,False,False
BNBN0585,대구 새본리중학교,35.8392164,128.540979,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,260.2333333333333,2026-08-09T07:23:21+09:00,True,False,False
BNBN0586,대구 상원고등학교,35.822462,128.538382,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,260.2333333333333,2026-08-09T07:23:21+09:00,True,False,False
BNBN0588,대구 외국어고등학교,35.860672,128.497998,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
BNBN0590,대구 현풍고등학교,35.697121,128.439107,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
