station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
DGDM0001,(RS)대구시_대명2동 행정복지센터,35.85531,128.586686,CV000536,대구시_대명2동 행정복지센터,16.5,80.0,True
DGDM0002,(RS)대구시_대명3동 행정복지센터,35.852301,128.579056,CV000537,대구시_대명3동 행정복지센터,29.5,80.0,True
DGDM0003,(RS)대구시_대명4동 행정복지센터,35.84597,128.569508,CV000538,대구시_대명4동 행정복지센터,0.0,80.0,True
DGDM0004,(RS)대구시_대명5동 행정복지센터,35.843225,128.587801,CV003128,대구시_대명5동행정복지센터,0.0,80.0,True
DGDP0001,(RS)대구시_도평동 공영주차장,35.91021944,128.6501883,CV000544,대구시_도평동 공영주차장,33.2,80.0,True
DGDS0001,(RS)대구시_대신동 행정복지센터,35.865581,128.576348,CV000534,대구시_대신동 행정복지센터,0.0,80.0,True
DGDW0001,(RS)대구시_성당두산위브,35.844279,128.545498,HY001294,대구 성당두산위브,30.4,80.0,True
DGER0004,(RS)대구시_대구의료원,35.85927374,128.5410081,CV003282,대구의료원본관,47.9,80.0,True
DGGB0001,(RS)대구시_하빈면사무소,35.900922,128.445517,CV000554,대구시_하빈면사무소,0.0,80.0,True
DGGG0001,(RS)대구시_지저동,35.893359,128.638268,CV000807,대구시_지저동,0.0,80.0,True
DGGH0001,(RS)대구시_고산2동 행정복지센터,35.843449,128.695181,CV000982,대구시_고산2동 행정복지센터,0.0,80.0,True
DGGS0001,(RS)대구시_고성동 행정복지센터,35.881917,128.58361,CV000547,대구시_고성동 행정복지센터,0.0,80.0,True
DGHG0001,(RS)대구시_황금1동 행정복지센터,35.843981,128.638144,,,,80.0,False
DGHH0001,(RS)대구시_효목2동,35.878139,128.641241,CV000806,대구시_효목2동,0.0,80.0,True
DGHM0001,(RS)대구시_효목1동 행정복지센터,35.881862,128.64495,CV000543,대구시_효목1동 행정복지센터,7.2,80.0,True
DGIC0001,(RS)대구시_대구지식산업센터,35.902404,128.579434,CV000512,대구시_대구지식산업센터,0.0,80.0,True
