statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,traffic_source
EV008163,대구달서 상인서한타운2,,,,1000,False,utic
EV008164,대구달서 상인서한타운3,,,,1000,False,utic
EV008233,대구북구 칠곡공작한양아파트2,,,,1000,False,utic
EV008234,대구북구 칠곡공작한양아파트3,,,,1000,False,utic
EV008289,대구북구 대구노원한신더휴4,,,,1000,False,utic
EV008290,대구북구 대구노원한신더휴5,,,,1000,False,utic
EV008365,대구동구 신천LH아파트,L93171025789,[공사] 대현로 대한응급구조사협회 에서 공고네거리 방향 2차로 도로공사 주의운전,752.4,1000,True,utic
EV008499,국민은행 대구지점,,,,1000,False,utic
EV008555,대구서구 황제맨션아파트,,,,1000,False,utic
EV008582,대구북구 칠곡2차영남타운4,,,,1000,False,utic
EV008583,대구북구 칠곡주공그린빌6단지2,,,,1000,False,utic
EV008584,대구북구 칠곡주공그린빌6단지3,,,,1000,False,utic
EV008597,대구동구 왕산우방타운,,,,1000,False,utic
EV008719,대구북구 칠곡2차영남타운5,,,,1000,False,utic
EV008720,대구북구 칠곡2차영남타운6,,,,1000,False,utic
EV008877,대구중구 라이프아파트,,,,1000,False,utic
EV008882,대구북구 대구금호LH천년나무1단지4,,,,1000,False,utic
EV008883,대구북구 대구금호LH천년나무1단지5,,,,1000,False,utic
EV008884,대구북구 대구금호LH천년나무1단지6,,,,1000,False,utic
EV008937,대구북구 LH천년나무8단지2,,,,1000,False,utic
EV008938,대구북구 LH천년나무8단지3,,,,1000,False,utic
EV008939,대구북구 LH천년나무8단지4,,,,1000,False,utic
EV008940,대구북구 LH천년나무8단지5,,,,1000,False,utic
EV008969,대구달서 상인우방타운,,,,1000,False,utic
EV008970,대구수성 수성태왕아너스1,,,,1000,False,utic
EV008971,대구수성 수성태왕아너스2,,,,1000,False,utic
EV010181,대구북구 학정청아람1,,,,1000,False,utic
EV010182,대구북구 학정청아람2,,,,1000,False,utic
EV010192,대구북구 오페라삼정그린코아더베스트3,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,796.8,1000,True,utic
EV010196,대구북구 오페라삼정그린코아더베스트2,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,753.6,1000,True,utic
EV010197,대구북구 오페라삼정그린코아더베스트4,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,829.7,1000,True,utic
EV010198,대구북구 오페라삼정그린코아더베스트5,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,802.8,1000,True,utic
EV010418,대구북구 칠곡그린빌4단지아파트1,,,,1000,False,utic
EV010419,대구북구 칠곡그린빌4단지아파트2,,,,1000,False,utic
EV010420,대구북구 칠곡그린빌4단지아파트3,,,,1000,False,utic
EV010542,대구동구 동신우방아파트1,,,,1000,False,utic
EV010543,대구동구 동신우방아파트2,,,,1000,False,utic
EV011212,대구달성 에코폴리스 동화아이위시2차3,,,,1000,False,utic
EV011762,대구북구 칠곡3차보성타운 4,,,,1000,False,utic
EV012251,대구동구 경북대학교병원,,,,1000,False,utic
EV012379,대구수성 시지청솔타운 1,,,,1000,False,utic
EV012380,대구수성 시지청솔타운 2,,,,1000,False,utic
EV012381,대구수성 지산한라타운,,,,1000,False,utic
EV012411,대구서구 서대구역반도유보라센텀 1,,,,1000,False,utic
EV012412,대구서구 서대구역반도유보라센텀 2,,,,1000,False,utic
EV012413,대구서구 서대구역반도유보라센텀 3,,,,1000,False,utic
EV012414,대구서구 서대구역반도유보라센텀 4 (급속),,,,1000,False,utic
EV012548,대구동구 KB국민은행 신암동,L93171025789,[공사] 대현로 대한응급구조사협회 에서 공고네거리 방향 2차로 도로공사 주의운전,504.4,1000,True,utic
EV012553,대구달서 본리동종합금융센터,,,,1000,False,utic
EV012621,대구달성 대실역e편한세상아파트 1,,,,1000,False,utic
EV012622,대구달성 대실역e편한세상아파트 2,,,,1000,False,utic
EV012623,대구달성 대실역e편한세상아파트 3,,,,1000,False,utic
EV012624,대구달성 대실역e편한세상아파트 4,,,,1000,False,utic
EV012641,대구서구 광장타운1차아파트 2,,,,1000,False,utic
EV012778,대구수성 아크로타워 1,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,79.5,1000,True,utic
EV012779,대구수성 아크로타워 2,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,79.5,1000,True,utic
EV012895,대구달서 성서종합금융센터,L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,551.3,1000,True,utic
EV013088,대구남구 개나리맨션,,,,1000,False,utic
EV013291,대구동구 금사리하이빌,,,,1000,False,utic
EV013465,대구서구 삼익뉴타운 1,,,,1000,False,utic
EV013466,대구서구 삼익뉴타운 2,,,,1000,False,utic
EV013467,대구서구 삼익뉴타운 3,,,,1000,False,utic
EV013468,대구서구 삼익뉴타운 4,,,,1000,False,utic
EV013469,대구서구 삼익뉴타운 5,,,,1000,False,utic
EV013470,대구서구 삼익뉴타운 6,,,,1000,False,utic
EV013471,대구서구 삼익뉴타운 7,,,,1000,False,utic
EV013472,대구서구 삼익뉴타운 8,,,,1000,False,utic
EV013667,대구수성 파동태왕리더스,,,,1000,False,utic
EV013751,대구북구 로얄패밀리A동,,,,1000,False,utic
EV013752,대구북구 로뎀나무아래,,,,1000,False,utic
EV013753,대구북구 오로라,,,,1000,False,utic
EV013761,대구수성 영원무역 대구만촌동건물,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,86.2,1000,True,utic
EV013869,대구동구 국가정보자원관리원 대구센터,,,,1000,False,utic
EV013892,대구동구 노을,,,,1000,False,utic
EV013893,대구북구 로얄패밀리B동,,,,1000,False,utic
EV013896,대구달서 진천역대성스카이렉스,,,,1000,False,utic
EV013929,대구북구 만사형통,,,,1000,False,utic
EV013997,대구북구 소망하이츠,,,,1000,False,utic
EV013998,대구북구 더원,,,,1000,False,utic
EV013999,대구북구 행복한집,,,,1000,False,utic
EV014112,대구달성 영원무역 대구공장,,,,1000,False,utic
