statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
CV001127,시설공단대구_서변1 공영주차장,27230-00010,서변공원,226.6,1000,True
CV001129,시설공단대구_갓바위3 공영주차장,,,,1000,False
CV001130,제봉뜰 두류봉제 지식산업센터,,,,1000,False
CV001171,대구시_서대구역(남측) 주차장,27170-00001,이현공원,942.6,1000,True
CV001208,대구상수도사업본부 달서사업소,27290-00179,두류공원,710.5,1000,True
CV001219,(주)금오모빌리티,,,,1000,False
CV001221,엑스코 제2전시장,27230-00003,대불공원,486.7,1000,True
CV001223,JB관광호텔,27140-00044,송호지공원,156.8,1000,True
CV001234,내당1동 행정복지센터,,,,1000,False
CV001241,시설공단대구_어린이회관 공영주차장,27260-00072,범어공원,587.9,1000,True
CV001242,시설공단대구_달서대로 공영주차장,,,,1000,False
CV001264,케이스식자재마트,,,,1000,False
CV001297,(주)젠텍스,27140-00083,단산유적공원,197.3,1000,True
CV001308,카페스톤 팔공산점,,,,1000,False
CV001314,노사평화의전당,,,,1000,False
CV001316,관문시장제1공영주차장,27290-00015,송현공원,465.5,1000,True
CV001318,강당골공영주차장,27200-00029,앞산공원,947.4,1000,True
CV001323,롯데렌탈 동대구점,27140-00043,대구선아양공원,803.9,1000,True
CV001343,서대구제일교회,27170-00002,평리공원,692.0,1000,True
CV001354,다사문양리마을공동주차장,,,,1000,False
CV001396,대구테크노파크 대구벤처센터,,,,1000,False
CV001397,대구테크노파크 신기술산업지원센터,,,,1000,False
CV001398,대구테크노파크 벤처공장,,,,1000,False
CV001426,경운대학교 대구교육관,27230-00012,매천공원,496.3,1000,True
CV001441,호텔인터불고대구 파크빌리지주차장,27140-00002,망우당공원,566.2,1000,True
CV001462,아이빌,,,,1000,False
CV001464,시민생활스포츠센터,27260-00037,대구체육공원,986.8,1000,True
