statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CV003064,155-2-000049,1.178030178747903,-1.0,7.0
CV003066,156-2-000014,,,
CV003067,154-1-000004,,,
CV003068,154-1-000020,,,
CV003069,154-1-000180,,,
CV003070,156-1-000005,,,
CV003071,151-1-000073,,,
CV003072,155-1-000040,,,
CV003074,152-1-000032,,,
CV003075,154-1-000084,,,
CV003076,155-1-000195,,,
CV003077,155-2-000062,1.049781318335647,-3.0,7.0
CV003078,157-1-000138,,,
CV003079,151-1-000062,,,
CV003081,154-2-000055,0.34992710611188255,0.0,7.0
CV003082,153-2-000026,,,
CV003083,151-2-000005,1.1605769149479936,0.0,7.0
CV003084,156-2-000078,,,
CV003085,155-1-000170,,,
CV003086,153-1-000083,,,
CV003087,156-1-000065,,,
CV003088,154-1-000137,,,
CV003089,156-3-000001,,,
CV003090,156-4-000014,,,
CV003091,152-2-000005,,,
CV003092,156-2-000058,,,
CV003093,156-2-000060,,,
CV003096,153-2-000009,1.0690449676496991,-2.0,7.0
CV003097,151-2-000003,0.6998542122237659,0.0,7.0
CV003098,151-2-000027,,,
CV003099,156-2-000047,,,
CV003100,156-2-000046,,,
CV003102,156-1-000073,,,
CV003103,150-1-000171,,,
CV003104,156-1-000087,,,
CV003105,152-1-000077,,,
CV003106,152-2-000026,,,
CV003107,152-1-000093,,,
CV003109,156-1-000093,,,
CV003110,156-2-000032,0.7284313590846837,0.0,7.0
CV003115,156-2-000024,,,
CV003116,151-2-000002,1.4846149779161797,4.0,7.0
CV003117,157-1-000083,,,
CV003118,154-1-000142,,,
CV003119,153-1-000035,,,
CV003120,155-3-000005,0.8806305718527113,-2.0,7.0
CV003121,156-2-000018,,,
CV003122,151-2-000003,0.6998542122237659,0.0,7.0
CV003123,151-1-000030,,,
CV003124,151-1-000034,,,
CV003125,156-1-000037,,,
CV003126,156-2-000047,,,
CV003127,153-2-000005,,,
CV003128,153-2-000049,,,
CV003129,156-2-000050,,,
CV003130,151-1-000121,,,
