statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
CV003065,,,,,
CV003066,,,,,
CV003067,1540008801,256.7,73.0,1.0,원활
CV003068,1540003200,189.9,21.0,2.0,지체
CV003069,,,,,
CV003070,1560094702,162.6,26.0,1.0,원활
CV003071,,,,,
CV003072,,,,,
CV003073,,,,,
CV003074,,,,,
CV003075,1540081803,191.3,41.0,1.0,원활
CV003076,1550018500,356.4,25.0,2.0,지체
CV003077,,,,,
CV003078,,,,,
CV003079,,,,,
CV003080,,,,,
CV003081,,,,,
CV003082,1530027600,197.1,42.0,1.0,원활
CV003083,,,,,
CV003084,1560000402,306.6,22.0,2.0,지체
CV003085,1550057500,135.0,29.0,1.0,원활
CV003086,1530022401,142.0,30.0,1.0,원활
CV003087,1560092700,186.4,31.0,1.0,원활
CV003088,1540071800,243.9,57.0,1.0,원활
CV003089,1560023000,248.5,16.0,2.0,지체
CV003090,,,,,
CV003091,1520019100,65.2,25.0,2.0,지체
CV003092,1560076203,35.5,27.0,1.0,원활
CV003093,1560074801,232.9,27.0,1.0,원활
CV003096,1530027800,212.3,42.0,1.0,원활
CV003097,1510031600,162.4,49.0,1.0,원활
CV003098,,,,,
CV003099,1560097700,336.6,37.0,1.0,원활
CV003100,,,,,
CV003102,1560031303,297.3,27.0,1.0,원활
CV003103,1560094600,398.1,26.0,1.0,원활
CV003104,1560003801,349.4,28.0,1.0,원활
CV003105,1520011900,295.0,23.0,2.0,지체
CV003106,1520011800,207.6,22.0,2.0,지체
CV003107,1520011900,288.6,23.0,2.0,지체
CV003109,1560013900,346.7,32.0,1.0,원활
CV003110,,,,,
CV003111,,,,,
CV003115,1560092900,339.4,24.0,2.0,지체
CV003116,1510023101,100.8,14.0,3.0,정체
CV003117,,,,,
CV003118,1540053700,338.8,51.0,1.0,원활
CV003119,1530000503,100.5,28.0,1.0,원활
CV003120,,,,,
CV003121,,,,,
CV003122,1510031600,134.9,49.0,1.0,원활
CV003123,1510031800,139.8,29.0,1.0,원활
CV003124,1510007304,65.3,20.0,2.0,지체
CV003125,1560014100,303.4,42.0,1.0,원활
CV003126,1560097700,336.6,37.0,1.0,원활
CV003127,1530009100,45.8,20.0,2.0,지체
CV003128,1530011601,246.6,23.0,2.0,지체
CV003129,1560018700,178.0,60.0,1.0,원활
CV003130,,,,,
CV003131,1510028001,318.4,24.0,2.0,지체
CV003132,1560099900,187.7,44.0,1.0,원활
CV003133,1560064702,376.7,26.0,1.0,원활
CV003134,1540025802,101.8,25.0,2.0,지체
CV003136,1540245102,228.5,26.0,1.0,원활
CV003137,1570430300,287.5,26.0,1.0,원활
CV003138,1560080600,68.7,27.0,1.0,원활
CV003139,1540429800,131.9,30.0,1.0,원활
CV003140,,,,,
CV003141,,,,,
CV003142,,,,,
CV003143,,,,,
CV003144,1540053600,40.0,64.0,1.0,원활
CV003145,,,,,
CV003146,,,,,
CV003148,,,,,
CV003149,,,,,
CV003150,,,,,
CV003158,,,,,
CV003159,,,,,
CV003162,1530028600,202.1,32.0,1.0,원활
CV003163,1530021900,160.2,32.0,1.0,원활
CV003165,,,,,
CV003176,1560012800,306.2,42.0,1.0,원활
CV003177,1560012800,306.2,42.0,1.0,원활
CV003178,1560012800,306.2,42.0,1.0,원활
CV003179,1560012800,306.2,42.0,1.0,원활
CV003181,1550019400,118.7,60.0,1.0,원활
CV003185,,,,,
CV003193,1550033400,57.4,60.0,1.0,원활
CV003194,1550033400,57.4,60.0,1.0,원활
CV003205,1570432700,113.6,29.0,1.0,원활
CV003209,,,,,
CV003237,,,,,
CV003256,,,,,
CV003258,,,,,
CV003276,1520000103,154.3,26.0,1.0,원활
CV003282,1560064702,333.1,26.0,1.0,원활
CV003283,1560064702,238.4,26.0,1.0,원활
CV003284,1520005100,245.6,27.0,1.0,원활
CV003286,1530009400,75.8,29.0,1.0,원활
CV003304,,,,,
CV003315,1540049001,288.1,26.0,1.0,원활
CV003352,,,,,
CV003353,,,,,
CV003360,,,,,
CV003428,,,,,
CV003437,,,,,
CV003444,,,,,
CV003445,,,,,
CV003446,1520017300,361.2,32.0,1.0,원활
CV003447,,,,,
CV003449,,,,,
CV003450,1540035900,65.4,60.0,1.0,원활
CV003451,,,,,
CV003452,1550017500,272.7,29.0,1.0,원활
CV003453,1550007000,223.4,40.0,1.0,원활
CV003454,1550007000,223.4,40.0,1.0,원활
CV003455,1550019500,254.2,32.0,1.0,원활
CV003456,1540005601,30.8,25.0,2.0,지체
