statId,chgerId,statNm,addr,lat,lng,busiNm,parkingFree,limitYn,delYn,fetchedAt
ME20C286,22,읍내동 행정복지센터,대구광역시 북구 읍내동 660-2,35.946211,128.550539,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C287,21,한국도로공사 북대구영업소,대구광역시 북구 서변남로 121,35.911213,128.584818,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C287,22,한국도로공사 북대구영업소,대구광역시 북구 서변남로 121,35.911213,128.584818,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C288,21,한국도로공사 서대구영업소,대구광역시 서구 가르뱅이로 102-30,35.8833794,128.5250358,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C288,22,한국도로공사 서대구영업소,대구광역시 서구 가르뱅이로 102-30,35.8833794,128.5250358,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C304,01,대구경북첨단의료산업진흥재단,대구광역시 동구 첨복로 80,35.88159471,128.73661614,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C304,21,대구경북첨단의료산업진흥재단,대구광역시 동구 첨복로 80,35.88159471,128.73661614,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C304,22,대구경북첨단의료산업진흥재단,대구광역시 동구 첨복로 80,35.88159471,128.73661614,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C414,01,낙동강물환경연구소,대구광역시 달성군 구지면 국가산단대로52길 24-11,35.654018106,128.42198098,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C414,02,낙동강물환경연구소,대구광역시 달성군 구지면 국가산단대로52길 24-11,35.654018106,128.42198098,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C414,03,낙동강물환경연구소,대구광역시 달성군 구지면 국가산단대로52길 24-11,35.654018106,128.42198098,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C414,04,낙동강물환경연구소,대구광역시 달성군 구지면 국가산단대로52길 24-11,35.654018106,128.42198098,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20D206,01,한국산업기술평가관리원,대구광역시 동구 첨단로8길32,35.878648,128.733636,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
