statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
PW001315,서재2차보성타운-212동,대구광역시 달성군 다사읍 서재로 30길 7,35.876887,128.497955,1,1,0,Y
PW001341,대구혁신LH 5단지(B-4블록)-1지역,대구광역시 동구 과학로 45,35.883308,128.669312,1,1,0,Y
PW010023,화원이진캐스빌,대구광역시 달성군 화원읍 비슬로 2545,35.803915374,128.49502994,1,1,0,Y
PW010025,극동스타클래스남산,대구광역시 중구 남산로 30,35.8592611,128.583367,1,1,0,Y
PW010035,대구노원한신더휴-7동 지하1층,대구광역시 북구 노원로10길 40,35.890061530056,128.5693834891,1,1,0,Y
PW010114,안심역코오롱하늘채,대구광역시 동구 금강로21길 30,35.8666157,128.7331337,10,10,0,Y
PW010122,월성코오롱하늘채2단지아파트,대구광역시 달서구 조암남로16길 20,35.8223101,128.5234355,10,10,0,Y
PW010180,율하 휴먼시아9단지,대구광역시 동구 안심로22길 76,35.8623470615,128.69888270,10,10,0,Y
PW010187,매천센트럴파크,대구광역시 북구 매전로4길 9,35.9083461,128.5442242,10,10,0,Y
PW010211,군위보건소,대구광역시 군위군 우보면 철길로 201,36.148359070440,128.6864015410,2,2,0,Y
PW010224,성서3차동서타운,대구광역시 달서구 이곡공원로 49,35.855969397896,128.5132223440,2,2,0,Y
PW010225,대구테크노폴리스4단지,대구광역시 달성군 유가읍 테크노상업로 111,35.694848,128.4612941,8,8,0,Y
PW010236,메트로팔레스2단지,대구광역시 수성구 동원로 123,35.8686517,128.6354956,10,10,0,Y
PW010248,다사E편한세상,대구광역시 달성군 다사읍 다사역로 60,35.868725222436,128.4564380953,4,4,0,Y
PW010249,테크노폴리스하나리움퀸즈파크,대구광역시 달성군 유가읍 테크노북로 164,35.6964159,128.4613094,8,8,0,Y
PW010299,녹원맨션,대구광역시 수성구 무학로 189,35.830939540053,128.6305515574,4,4,0,Y
