pkltId,pkltNm,lat,lng,roadNmAddr,유료무료
151-4-000048,현대시티아울렛 대구점,35.87072982,128.62654663,대구 동구 동대구로 454,무료
152-1-000001,감삼공원 북측,35.858719,128.551813,,무료
152-1-000002,감삼공원 서측,35.857332,128.549823,,무료
152-1-000003,경운중학교 북측,35.860168,128.553445,,무료
152-1-000004,경운중학교 서측,35.85933,128.552661,,무료
152-1-000005,고성로,35.886782,128.571101,,무료
152-1-000006,광장타운2차 북측,35.85649,128.54995,,무료
152-1-000007,국채보상로 20길,35.865684,128.541011,,무료
152-1-000008,국채보상로 50길,35.864832,128.55949,,무료
152-1-000009,국채보상로 69길,35.873822,128.568575,,무료
152-1-000010,국채보상로 75길-1,35.875672,128.572339,,무료
152-1-000011,국채보상로 79길,35.875183,128.573577,,무료
152-1-000012,국채보상로(새방지하차도~서대구공단네거리),35.868403,128.533355,,무료
152-1-000013,국채보상로(서대구공단네거리~중리네거리),35.868633,128.540938,,무료
152-1-000014,국채보상로(중리네거리~서대구공단네거리),35.868845,128.541171,,무료
152-1-000015,국채보상로(평현교회남측),35.869596,128.549124,,무료
152-1-000016,날뫼공원 서측,35.880077,128.565471,,무료
152-1-000017,내당동삼익맨션 남측,35.859338,128.556191,,무료
152-1-000018,내당보성 홍실아파트 남측,35.862117,128.562365,,무료
152-1-000019,내당시영아파트,35.863379,128.558657,,무료
152-1-000020,내삼어린이공원 서측,35.856046,128.548676,,무료
152-1-000021,달구벌대로 373길,35.862136,128.568148,,무료
152-1-000022,달서로 12길,35.869217,128.575142,,무료
